rank,gender,name,count,frequency
642,f,Melitta,11673,1:8282
643,f,Ivonne,11610,1:8327
644,f,Almut,11547,1:8373
645,f,Christl,11545,1:8374
646,m,Benedikt,11542,1:8376
647,f,Hanne,11494,1:8411
648,m,Wolf-Dieter,11385,1:8492
649,m,Hagen,11379,1:8496
650,m,Adrian,11376,1:8498
651,f,Marliese,11361,1:8510
652,f,Swetlana,11341,1:8525
653,f,Kathleen,11330,1:8533
654,f,Birte,11306,1:8551
655,m,Joseph,11282,1:8569
656,u,Hauke,11223,1:8614
657,m,Pascal,11151,1:8670
658,m,Hans-Gerd,11122,1:8692
659,f,Isabell,11099,1:8711
660,m,Egbert,11086,1:8721
661,m,Siegmar,11042,1:8755
662,f,Alma,10983,1:8803
663,f,Conny,10945,1:8833
664,m,Lukas,10935,1:8841
665,m,Adalbert,10902,1:8868
666,m,Denis,10811,1:8943
667,m,Heinz-Josef,10802,1:8950
668,f,Luzia,10751,1:8992
669,m,Hansjörg,10683,1:9050
670,m,Silvio,10679,1:9053
671,m,Chris,10619,1:9104
672,f,Christin,10618,1:9105
673,m,Ekkehard,10555,1:9159
674,f,Meta,10527,1:9184
675,f,Corina,10458,1:9244
676,m,Bastian,10445,1:9256
677,f,Anika,10312,1:9375
678,f,Imke,10304,1:9383
679,m,Uli,10292,1:9393
680,m,Guenter,10267,1:9416
681,f,Sofia,10219,1:9461
682,f,Ingelore,10213,1:9466
683,f,Kim,10205,1:9474
684,m,Horst-Dieter,10184,1:9493
685,f,Ludmilla,10125,1:9548
686,f,Ariane,10119,1:9554
687,m,Friedrich-Wilhelm,10084,1:9587
688,f,Rosina,10043,1:9626
689,f,Jeannette,10040,1:9629
690,m,Ismail,10039,1:9630
691,f,Lilia,10030,1:9639
692,m,Wolf,10021,1:9648
693,m,Salvatore,10005,1:9663
694,m,Ibrahim,9974,1:9693
695,m,Bert,9952,1:9714
696,m,Tilo,9907,1:9759
697,m,Hannes,9832,1:9833
698,f,Cäcilia,9825,1:9840
699,m,Moritz,9778,1:9887
700,f,Fatma,9664,1:10004
701,m,Igor,9640,1:10029
702,f,Susanna,9622,1:10048
703,f,Nancy,9607,1:10063
704,f,Irena,9604,1:10066
705,m,Hans-Otto,9564,1:10109
706,m,Gisbert,9409,1:10275
707,f,Nelli,9390,1:10296
708,f,Thekla,9348,1:10342
709,f,Kirstin,9267,1:10432
710,f,Gesine,9245,1:10457
711,f,Marika,9228,1:10477
712,f,Sina,9201,1:10507
713,m,Marius,9167,1:10546
714,m,Nikolai,9160,1:10554
715,f,Nora,9131,1:10588
716,m,Steven,9128,1:10591
717,f,Sara,9115,1:10606
718,m,Jose,9113,1:10609
719,m,Jonas,9045,1:10689
720,m,Henrik,9037,1:10698
721,m,Karl-Friedrich,8954,1:10797
722,m,Hüseyin,8917,1:10842
723,m,Rolf-Dieter,8912,1:10848
724,f,Hedi,8903,1:10859
725,f,Teresa,8882,1:10885
726,f,Elise,8868,1:10902
727,m,Gebhard,8862,1:10909
728,m,Carl,8850,1:10924
729,f,Theresa,8839,1:10938
730,f,Felicitas,8813,1:10970
731,m,Aloys,8803,1:10982
732,f,Karolina,8801,1:10985
733,m,Philip,8774,1:11019
734,m,Murat,8754,1:11044
735,m,Francesco,8712,1:11097
736,f,Babette,8687,1:11129
737,f,Liesbeth,8668,1:11153
738,m,Malte,8656,1:11169
739,f,Sofie,8655,1:11170
740,m,Hans-Günther,8636,1:11195
741,f,Pauline,8611,1:11227
742,f,Ricarda,8607,1:11232
743,f,Nathalie,8603,1:11238
744,m,Norman,8594,1:11249
745,f,Gerti,8544,1:11315
746,m,Ullrich,8481,1:11399
747,u,Frieder,8471,1:11413
748,f,Ana,8374,1:11545
749,m,Reimund,8281,1:11675
750,f,Wanda,8244,1:11727
751,f,Reinhild,8184,1:11813
752,u,Andree,8151,1:11861
753,f,Isabelle,8130,1:11891
754,m,Gerrit,8109,1:11922
755,m,Eckart,8105,1:11928
756,m,Gotthard,8064,1:11989
757,m,Arnd,8033,1:12035
757,m,Bertram,8033,1:12035
759,m,Ansgar,8023,1:12050
760,f,Maritta,7973,1:12126
761,f,Rose,7960,1:12145
762,m,Hans-Martin,7944,1:12170
763,f,Margarita,7936,1:12182
764,m,Heinz-Werner,7889,1:12255
765,f,Lilo,7858,1:12303
766,f,Mirjam,7772,1:12439
767,m,Hans-Wilhelm,7771,1:12441
768,f,Maja,7760,1:12458
769,m,Heinz-Günter,7759,1:12460
770,f,Alina,7753,1:12470
771,f,Sophia,7750,1:12475
772,m,Arndt,7736,1:12497
773,m,Victor,7716,1:12530
774,m,Sönke,7710,1:12539
775,m,Roberto,7701,1:12554
776,f,Agathe,7697,1:12560
777,m,Eike,7679,1:12590
778,m,Antonius,7648,1:12641
779,m,Juri,7638,1:12657
780,f,Monique,7629,1:12672
781,f,Dana,7602,1:12717
782,f,Alwine,7585,1:12746
783,m,Marek,7512,1:12870
784,m,Rico,7501,1:12889
785,m,Hans-Walter,7496,1:12897
786,m,Giovanni,7494,1:12901
787,f,Romy,7468,1:12946
788,f,Gesa,7428,1:13015
789,f,Reinhilde,7377,1:13105
790,f,Hilke,7373,1:13112
791,m,Leopold,7321,1:13206
792,m,Mohamed,7255,1:13326
793,f,Johanne,7157,1:13508
794,m,Ahmed,7110,1:13597
795,m,André,7101,1:13615
796,f,Sandy,7086,1:13644
797,f,Sabina,7053,1:13707
798,m,Sören,6987,1:13837
798,f,Wally,6987,1:13837
800,f,Irmtraut,6971,1:13869
801,f,Mona,6885,1:14042
802,f,Lisbeth,6879,1:14054
803,m,Niels,6868,1:14077
804,f,Ewa,6854,1:14105
805,f,Valeri,6838,1:14138
806,f,Pamela,6834,1:14147
807,f,Marietta,6828,1:14159
808,f,Luzie,6764,1:14293
809,m,Wendelin,6757,1:14308
810,f,Ayse,6751,1:14321
811,m,Nicolas,6732,1:14361
812,m,Till,6705,1:14419
813,f,Emmy,6704,1:14421
814,f,Henny,6659,1:14518
815,f,Danuta,6654,1:14529
816,f,Cindy,6628,1:14586
817,m,Oleg,6616,1:14613
818,m,Pierre,6603,1:14642
819,m,Jens-Uwe,6535,1:14794
820,m,Claus-Dieter,6528,1:14810
821,m,Rafael,6525,1:14817
822,m,Kai-Uwe,6511,1:14848
823,f,Wiltrud,6505,1:14862
824,f,Ludmila,6496,1:14883
825,f,Selma,6482,1:14915
826,f,Frida,6480,1:14919
827,f,Irmhild,6469,1:14945
828,f,Mechtild,6456,1:14975
829,f,Margaretha,6449,1:14991
830,f,Janet,6443,1:15005
831,f,Monica,6439,1:15014
